MODEL VERSION,MSE THRESHOLD,DETECTED MSE,IS ANOMALY
1,0.3971976494235263,0.1068897324999664,False
1,0.3971976494235263,0.2191964357456788,False
1,0.3971976494235263,0.23450316819115208,False
1,0.3971976494235263,0.05039897057921339,False
1,0.3971976494235263,0.3813177859881934,False
1,0.3971976494235263,0.3841125869107572,False
1,0.3971976494235263,0.4032801512730956,True
1,0.3971976494235263,0.3910656165305206,False
1,0.3971976494235263,0.39801339771945976,True
1,0.3971976494235263,0.4026536696692598,True
1,0.3971976494235263,0.38795987270397525,False
1,0.3971976494235263,0.3701188061175491,False
1,0.3971976494235263,0.3766230729907856,False
1,0.3971976494235263,0.3768611586457608,False
1,0.3971976494235263,0.3735527254693429,False
1,0.39071931420333883,0.37550365663449986,False
1,0.39071931420333883,0.3764026484340286,False
1,0.39071931420333883,0.37150593533830906,False
1,0.39071931420333883,0.37990368680391523,False
2,0.39071931420333883,0.10532322753641529,False
2,0.39071931420333883,0.2087739969392808,False
2,0.39071931420333883,0.22436901614944166,False
2,0.39071931420333883,0.04892272174987094,False
2,0.39071931420333883,0.36460478407353925,False
2,0.39071931420333883,0.36716398113303733,False
2,0.39071931420333883,0.3859003531641057,False
2,0.39071931420333883,0.374188198296253,False
2,0.39071931420333883,0.3808770010247844,False
2,0.39071931420333883,0.3853345784699299,False
2,0.39071931420333883,0.3711660195035781,False
2,0.39071931420333883,0.3537686375398073,False
2,0.39071931420333883,0.3601553331747479,False
2,0.39071931420333883,0.3603740108644681,False
2,0.39071931420333883,0.3571537910888144,False
2,0.39071931420333883,0.3590566672945654,False
2,0.39071931420333883,0.35991598775194633,False
2,0.39071931420333883,0.35511812213568533,False
2,0.39071931420333883,0.3632286460482505,False
2,0.39071931420333883,0.35964574077118555,False
2,0.39071931420333883,0.36953028683601635,False
2,0.39071931420333883,0.35163286781653424,False
2,0.39071931420333883,0.3526163126782981,False
2,0.39071931420333883,0.38130785994295,False
2,0.39071931420333883,0.3905800531530928,False
2,0.39071931420333883,0.3892743785856323,False
2,0.39071931420333883,0.3910986020995162,True
2,0.39071931420333883,0.3860095581273546,False
2,0.39071931420333883,0.38707730942654206,False
2,0.39071931420333883,0.38577935648765604,False
2,0.39071931420333883,0.37823710332834654,False
3,0.3636130378114506,0.2586942585178461,False
3,0.3636130378114506,0.2559150308866925,False
3,0.3636130378114506,0.25987058803724283,False
3,0.3636130378114506,0.2598416222489299,False
3,0.3636130378114506,0.25933821037795596,False
3,0.3636130378114506,0.2580702001096052,False
3,0.3636130378114506,0.2586348576546729,False
3,0.3636130378114506,0.25899139657889675,False
3,0.3636130378114506,0.25479830651760055,False
3,0.3636130378114506,0.2579287758550733,False
3,0.3636130378114506,0.25619081094972557,False
3,0.3636130378114506,0.2573152329803465,False
3,0.3636130378114506,0.25790434509755333,False
3,0.3636130378114506,0.25779139397326284,False
3,0.3636130378114506,0.25840284644175726,False
3,0.3636130378114506,0.25677266354682465,False
3,0.3636130378114506,0.25770024644753003,False
3,0.3636130378114506,0.25239693406932145,False
4,0.3358553365965204,0.22400926225683834,False
4,0.3358553365965204,0.2241405159613467,False
4,0.3358553365965204,0.22604874441952635,False
4,0.3358553365965204,0.22556280708990625,False
4,0.3358553365965204,0.22726439389010636,False
4,0.3358553365965204,0.22724510936296263,False
4,0.3358553365965204,0.22861803977903794,False
4,0.3358553365965204,0.22897961718239845,False
4,0.3358553365965204,0.22747034632077423,False
4,0.3358553365965204,0.2273894695014776,False
5,0.30999223767627593,0.20504929667791053,False
5,0.30999223767627593,0.20462501063637661,False
5,0.30999223767627593,0.20490277989877848,False
5,0.30999223767627593,0.20511806478547495,False
5,0.30999223767627593,0.20478409359139416,False
5,0.30999223767627593,0.20585324679797953,False
5,0.30999223767627593,0.2039523980212768,False
6,0.27932038634377715,0.15533653071684933,False
6,0.27932038634377715,0.1563560028621596,False
6,0.27932038634377715,0.15462534807193937,False
6,0.27932038634377715,0.15493339910139095,False
6,0.27932038634377715,0.1559265017487822,False
6,0.27932038634377715,0.15631657096872853,False
6,0.27932038634377715,0.15585173254633283,False
6,0.27932038634377715,0.15447661689829958,False
6,0.27932038634377715,0.1562757345838566,False
6,0.27932038634377715,0.1552925114585562,False
6,0.27932038634377715,0.1557590577033196,False
6,0.27932038634377715,0.15462166703492605,False
6,0.27932038634377715,0.15478682613905892,False
6,0.23388241323706702,0.15442071295898782,False
7,0.23388241323706702,0.052370468627793904,False
7,0.23388241323706702,0.051847509166992774,False
7,0.23388241323706702,0.052820174424452845,False
7,0.23388241323706702,0.05334493969402975,False
7,0.23388241323706702,0.05243213089077809,False
7,0.23388241323706702,0.05315592508305185,False
7,0.23388241323706702,0.05172401600388843,False
7,0.23388241323706702,0.05208103166927362,False
7,0.23388241323706702,0.051628858929387664,False
7,0.23388241323706702,0.051794817430031004,False
8,0.18824449827246423,0.005532241478300811,False
8,0.18824449827246423,0.005582603598722911,False
8,0.18824449827246423,0.005847841286184723,False
8,0.18824449827246423,0.005671091219303976,False
8,0.18824449827246423,0.00600979448083555,False
8,0.18824449827246423,0.005949569107685322,False
8,0.18824449827246423,0.005472632192582539,False
8,0.18824449827246423,0.005780760591794201,False
8,0.18824449827246423,0.00592743821604241,False
8,0.18824449827246423,0.005592990865011528,False
8,0.18824449827246423,0.0059439701858915745,False
8,0.18824449827246423,0.005624558152430221,False
8,0.18824449827246423,0.005421516430018258,False
8,0.18824449827246423,0.005622669227219074,False
8,0.18824449827246423,0.005563169296318505,False
8,0.18824449827246423,0.005408937830333056,False
8,0.18824449827246423,0.005609769002671354,False
8,0.18824449827246423,0.00556936594228825,False
8,0.18824449827246423,0.005407899554444113,False
8,0.18824449827246423,0.005542810667493266,False
8,0.18824449827246423,0.005504456292444222,False
8,0.18824449827246423,0.005359226712049112,False
8,0.18824449827246423,0.005517585835449201,False
8,0.18824449827246423,0.005561222142320953,False
8,0.18824449827246423,0.0051644656392000965,False
9,0.15133148330936766,0.0038283839499496774,False
9,0.15133148330936766,0.003232893438622258,False
9,0.15133148330936766,0.0035894996056160464,False
9,0.15133148330936766,0.0037676248297744018,False
9,0.15133148330936766,0.003731232243268878,False
9,0.15133148330936766,0.003365758545966532,False
9,0.15133148330936766,0.003501694414375169,False
9,0.15133148330936766,0.0035184776847210506,False
9,0.15133148330936766,0.003344998920754451,False
9,0.15133148330936766,0.0035508482104659104,False
9,0.15133148330936766,0.003595108932670691,False
9,0.15133148330936766,0.0033564877173778125,False
9,0.15133148330936766,0.003484941462318681,False
9,0.15133148330936766,0.0035097333920093825,False
9,0.15133148330936766,0.003600797741289124,False
10,0.12127724988899365,0.001091589929943803,False
10,0.12127724988899365,0.0010402874808562832,False
10,0.12127724988899365,0.0010321059302926367,False
10,0.12127724988899365,0.0011147569010535017,False
10,0.12127724988899365,0.001098411006167983,False
10,0.12127724988899365,0.000981239678780259,False
10,0.12127724988899365,0.0010958860575604075,False
10,0.12127724988899365,0.00113298735154511,False
10,0.12127724988899365,0.00790564739758316,False
10,0.12127724988899365,0.004314975547899556,False
11,0.09831689834145947,0.005053658897332627,False
11,0.09831689834145947,0.011026753952680804,False
11,0.09831689834145947,0.018163226854590105,False
11,0.09831689834145947,0.0031215049970422606,False
11,0.09831689834145947,0.006598220117604553,False
11,0.09831689834145947,0.002363420600958116,False
11,0.09831689834145947,0.00120355382226968,False
11,0.09831689834145947,0.0034390185700714313,False
11,0.09831689834145947,0.008667050203470599,False
11,0.09831689834145947,0.003225792105489548,False
11,0.09831689834145947,0.004165729706879725,False
11,0.09831689834145947,0.002347250235944567,False
11,0.09831689834145947,0.0016610837560573067,False
12,0.0790547441837611,0.00204829860043737,False
12,0.0790547441837611,0.0007399856157806208,False
12,0.0790547441837611,0.0005646615375018955,False
12,0.0790547441837611,0.0005844930233373065,False
12,0.0790547441837611,0.0005492373027434134,False
12,0.0790547441837611,0.0008669099768426525,False
12,0.0790547441837611,0.0008278580453186507,False
12,0.0790547441837611,0.0008730520927519122,False
12,0.0790547441837611,0.0005687495500323031,False
12,0.0790547441837611,0.0006702677769012285,False
12,0.0790547441837611,0.0014356978161886194,False
12,0.0790547441837611,0.0012648010868110049,False
12,0.0790547441837611,0.0012073785784173295,False
13,0.06344556808304962,0.0009693165525958811,False
13,0.06344556808304962,0.000908434169467191,False
13,0.06344556808304962,0.0008881513491924843,False
13,0.06344556808304962,0.0009372399713360448,False
13,0.06344556808304962,0.000843023786233292,False
13,0.06344556808304962,0.0009461885525949543,False
13,0.06344556808304962,0.0008601072542882732,False
13,0.06344556808304962,0.0009470737723765658,False
13,0.06344556808304962,0.000885043796117423,False
13,0.06344556808304962,0.0011096559509278408,False
13,0.06344556808304962,0.0012515375649809661,False
13,0.06344556808304962,0.0012996160129373933,False
13,0.06344556808304962,0.001245099893038634,False
13,0.06344556808304962,0.0008379216812328132,False
13,0.06344556808304962,0.0004673025861236704,False
13,0.06344556808304962,0.0005006822781387244,False
13,0.06344556808304962,0.0005693959163354487,False
13,0.06344556808304962,0.00048639356414758407,False
13,0.06344556808304962,0.0005161106122176667,False
13,0.06344556808304962,0.0006252832162959171,False
13,0.06344556808304962,0.0006077162378490358,False
13,0.06344556808304962,0.0006609321684942561,False
13,0.06344556808304962,0.0007037053617250365,False
13,0.06344556808304962,0.0007308497498677545,False
